epoch,accuracy,loss,val_accuracy,val_loss
0,0.1309223473072052,3.1023144721984863,0.3115808963775635,2.822495937347412
1,0.34510794281959534,2.6546237468719482,0.5284926295280457,2.30397891998291
2,0.5287356376647949,2.1454708576202393,0.6764705777168274,1.749058723449707
3,0.6661059856414795,1.6856930255889893,0.779411792755127,1.3028367757797241
4,0.7490888833999634,1.3175256252288818,0.8428308963775635,0.9974542260169983
5,0.7970283031463623,1.0653600692749023,0.875,0.792432427406311
6,0.8351556062698364,0.9139631986618042,0.8979779481887817,0.6689484715461731
7,0.8570227026939392,0.8010773658752441,0.9163603186607361,0.580157458782196
8,0.8640313744544983,0.7253190875053406,0.9246323704719543,0.528292715549469
9,0.8836557269096375,0.6598987579345703,0.9319853186607361,0.4893189072608948
10,0.9001962542533875,0.5932732820510864,0.9347426295280457,0.46341270208358765
11,0.9035604000091553,0.5625497698783875,0.9365808963775635,0.4394958019256592
12,0.9128118753433228,0.5327046513557434,0.9402573704719543,0.4225655496120453
